"polish"	"indpol_hindi"	"indpol_marathi"	"hindi_meaning"	"marathi_meaning"	"english_meaning"	"pos"	"level"
"delikatnie"	"देलिकअतनिे"	"दएलइकअतनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: gently]"	"gently"	"noun"	"B1"
"delikatny"	"देलिकअतनि"	"दएलइकअतनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: delicate]"	"delicate"	"noun"	"C1"
"deszcz"	"देश्च"	"दएश्च"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: rain]"	"rain"	"noun"	"A1"
"detektyw"	"देतेकतिव"	"दएतएकतइव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: detective]"	"detective"	"noun"	"C1"
"diabeł"	"दिअबेव"	"दइअबएव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: devil]"	"devil"	"noun"	"B2"
"dla"	"दलअ"	"दलअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: for]"	"for"	"noun"	"A1"
"dłoń"	"दवोञ"	"दवओञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: hand]"	"hand"	"noun"	"A1"
"długi"	"दवुगि"	"दवउगइ"	"लंबा"	"लांब"	""	"noun"	"A1"
"długie"	"दवुगिे"	"दवउगइए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: long]"	"long"	"noun"	"A1"
"długość"	"दवुगोशच"	"दवउगओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: length]"	"length"	"noun"	"A2"
"dmuchać"	"दमुखअच"	"दमउखअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to blow]"	"to blow"	"verb"	"A2"
"do"	"दो"	"दओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to]"	"to"	"noun"	"A1"
"do awarii"	"दो अवअरिि"	"दओ अवअरइइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to crash]"	"to crash"	"noun"	"B2"
"Do czegoś"	"दो चेगोश"	"दओ चएगओश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to ought]"	"to ought"	"noun"	"A2"
"do obsługi"	"दो ोबसवुगि"	"दओ ओबसवउगइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to handle]"	"to handle"	"noun"	"B1"
"do osadu"	"दो ोसअदु"	"दओ ओसअदउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to slam]"	"to slam"	"noun"	"B2"
"do pcheł"	"दो पखेव"	"दओ पखएव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to flee]"	"to flee"	"noun"	"B2"
"do peer"	"दो पेेर"	"दओ पएएर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to peer]"	"to peer"	"noun"	"B2"
"do pieców"	"दो पिेत्सउव"	"दओ पइएत्सउव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to owe]"	"to owe"	"noun"	"B2"
"do potęgi"	"दो पोतएंगि"	"दओ पओतएंगइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to might]"	"to might"	"noun"	"A1"
"do sądu"	"दो सओंदु"	"दओ सओंदउ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to arrest]"	"to arrest"	"noun"	"B2"
"do sprzęgnięcia"	"दो सपझएंगनिएंचिअ"	"दओ सपझएंगनिएंचिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to clutch]"	"to clutch"	"noun"	"C1"
"do trawy"	"दो तरअवि"	"दओ तरअवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to grasp]"	"to grasp"	"noun"	"B2"
"do woli"	"दो वोलि"	"दओ वओलइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to will]"	"to will"	"noun"	"A1"
"do wymiany"	"दो विमिअनि"	"दओ वइमइअनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to exchange]"	"to exchange"	"noun"	"B1"
"do wyświetlenia"	"दो विशविेतलेनिअ"	"दओ वइशवइएतलएनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to display]"	"to display"	"noun"	"B2"
"do zachowania"	"दो ज़अखोवअनिअ"	"दओ ज़अखओवअनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to keep]"	"to keep"	"noun"	"A1"
"do zamontowania"	"दो ज़अमोनतोवअनिअ"	"दओ ज़अमओनतओवअनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to mount]"	"to mount"	"noun"	"B2"
"do zrobienia"	"दो ज़रोबिेनिअ"	"दओ ज़रओबइएनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to do]"	"to do"	"noun"	"A1"
"dobry"	"दोबरि"	"दओबरइ"	"अच्छा"	"चांगला"	"good"	"noun"	"A1"
"dobrze"	"दोबझे"	"दओबझए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: right]"	"right"	"noun"	"A1"
"docenić"	"दोत्सेनिच"	"दओत्सएनिच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to appreciate]"	"to appreciate"	"verb"	"B2"
"dodać"	"दोदअच"	"दओदअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to add]"	"to add"	"verb"	"A1"
"dodatkowy"	"दोदअतकोवि"	"दओदअतकओवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: extra]"	"extra"	"noun"	"B2"
"dojrzeć"	"दोयझेच"	"दओयझएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: glimpse]"	"glimpse"	"verb"	"C1"
"dokładnie"	"दोकवअदनिे"	"दओकवअदनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: exactly]"	"exactly"	"noun"	"A2"
"dołączyć"	"दोवओंचिच"	"दओवओंचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to join]"	"to join"	"verb"	"A2"
"dolar"	"दोलअर"	"दओलअर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: dollar]"	"dollar"	"noun"	"A2"
"dolina"	"दोलिनअ"	"दओलइनअ"	"घाटी"	"दरी"	"valley"	"noun"	"A1"
"Dolny"	"दोलनि"	"दओलनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bottom]"	"bottom"	"noun"	"B1"
"dom"	"दोम"	"दओम"	"घर"	"घर"	"house"	"noun"	"A1"
"domagać się"	"दोमअगअच शिएं"	"दओमअगअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to demand]"	"to demand"	"noun"	"A2"
"dopasować"	"दोपअसोवअच"	"दओपअसओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: match]"	"match"	"verb"	"B1"
"dość"	"दोशच"	"दओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: enough]"	"enough"	"noun"	"A1"
"doskonale"	"दोसकोनअले"	"दओसकओनअलए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: perfectly]"	"perfectly"	"noun"	"B1"
"doskonały"	"दोसकोनअवि"	"दओसकओनअवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: excellent]"	"excellent"	"noun"	"B2"
"dostarczyć"	"दोसतअरचिच"	"दओसतअरचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to deliver]"	"to deliver"	"verb"	"B1"
"dostawa"	"दोसतअवअ"	"दओसतअवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: supply]"	"supply"	"noun"	"B1"
"dostawać"	"दोसतअवअच"	"दओसतअवअच"	"पाना"	"मिळणे"	""	"verb"	"A1"
"doświadczenie"	"दोशविअदचेनिे"	"दओशवइअदचएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: experience]"	"experience"	"noun"	"A2"
"dotknąć"	"दोतकनओंच"	"दओतकनओंच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to touch]"	"to touch"	"noun"	"A1"
"dowód"	"दोवउद"	"दओवउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: proof]"	"proof"	"noun"	"B2"
"dowody"	"दोवोदि"	"दओवओदइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: evidence]"	"evidence"	"noun"	"B1"
"dowództwo"	"दोवउजतवो"	"दओवउजतवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: command]"	"command"	"noun"	"A2"
"drapać"	"दरअपअच"	"दरअपअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to scratch]"	"to scratch"	"verb"	"C1"
"drewniany"	"दरेवनिअनि"	"दरएवनिअनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wooden]"	"wooden"	"noun"	"B1"
"drewno"	"दरेवनो"	"दरएवनओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wood]"	"wood"	"noun"	"A2"
"droga"	"दरोगअ"	"दरओगअ"	"सड़क"	"रस्ता"	"road"	"noun"	"A1"
"drogi"	"दरोगि"	"दरओगइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: dear]"	"dear"	"noun"	"A1"
"droższy"	"दरोझशि"	"दरओझशइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"druga"	"दरुगअ"	"दरउगअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: second]"	"second"	"noun"	"A1"
"drut"	"दरुत"	"दरउत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wire]"	"wire"	"noun"	"C1"
"dryfować"	"दरिफोवअच"	"दरइफओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to drift]"	"to drift"	"verb"	"B2"
"drżeć"	"दरझेच"	"दरझएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to tremble]"	"to tremble"	"verb"	"B1"
"drzewo"	"दझेवो"	"दझएवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: tree]"	"tree"	"noun"	"A1"
"drzwi"	"दझवि"	"दझवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: door]"	"door"	"noun"	"A1"
"duch"	"दुख"	"दउख"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: spirit]"	"spirit"	"noun"	"A2"
"duma"	"दुमअ"	"दउमअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pride]"	"pride"	"noun"	"B1"
"dumny"	"दुमनि"	"दउमनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: proud]"	"proud"	"noun"	"B1"
"dusza"	"दुशअ"	"दउशअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: soul]"	"soul"	"noun"	"A2"
"dużo"	"दुझो"	"दउझओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: much]"	"much"	"noun"	"A1"
"duży"	"दुझि"	"दउझइ"	"बड़ा"	"मोठा"	"big"	"noun"	"A1"
"dwa"	"दवअ"	"दवअ"	"दो"	"दोन"	"two"	"noun"	"A1"
"dwa blask"	"दवअ बलअसक"	"दवअ बलअसक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to glare]"	"to glare"	"noun"	"B2"
"dwa dreszcze"	"दवअ दरेश्चे"	"दवअ दरएश्चए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to shiver]"	"to shiver"	"noun"	"B2"
"dwa kulawe"	"दवअ कुलअवे"	"दवअ कउलअवए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to halt]"	"to halt"	"noun"	"C1"
"dwa oblige"	"दवअ ोबलिगे"	"दवअ ओबलइगए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to oblige]"	"to oblige"	"noun"	"C1"
"dwa razy"	"दवअ रअज़ि"	"दवअ रअज़इ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: twice]"	"twice"	"noun"	"B1"
"dwa renderowania"	"दवअ रेनदेरोवअनिअ"	"दवअ रएनदएरओवअनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to render]"	"to render"	"noun"	"C1"
"dwa westchnienia"	"दवअ वेसतखनिेनिअ"	"दवअ वएसतखनिएनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to suck]"	"to suck"	"noun"	"C1"
"dwadzieścia"	"दवअजिेशचिअ"	"दवअजिएशचिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"dwanaście"	"दवअनअशचिे"	"दवअनअशचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: twelve]"	"twelve"	"noun"	"A1"
"dwie przekonania"	"दविे पझेकोनअनिअ"	"दवइए पझएकओनअनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to persuade]"	"to persuade"	"noun"	"C1"
"dwie straty"	"दविे सतरअति"	"दवइए सतरअतइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to tap]"	"to tap"	"noun"	"B2"
"dyskusja"	"दिसकुसयअ"	"दइसकउसयअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: discussion]"	"discussion"	"noun"	"B2"
"dyskutować"	"दिसकुतोवअच"	"दइसकउतओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to discuss]"	"to discuss"	"verb"	"B1"
"dystans"	"दिसतअनस"	"दइसतअनस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: distance]"	"distance"	"noun"	"A2"
"dywan"	"दिवअन"	"दइवअन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A1"
"dziadek"	"जिअदेक"	"जिअदएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: grandfather]"	"grandfather"	"noun"	"A1"
"dział"	"जिअव"	"जिअव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: department]"	"department"	"noun"	"C1"
"działać"	"जिअवअच"	"जिअवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to act]"	"to act"	"verb"	"A2"
"działka"	"जिअवकअ"	"जिअवकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: plot]"	"plot"	"noun"	"C1"
"dzieciństwo"	"जिेचिञसतवो"	"जिएचिञसतवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: childhood]"	"childhood"	"noun"	"C1"
"dziecko"	"जिेत्सको"	"जिएत्सकओ"	"बच्चा"	"मुल"	"child"	"noun"	"A1"
"dziedziniec"	"जिेजिनिेत्स"	"जिएजिनिएत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: yard]"	"yard"	"noun"	"A2"
"dzięki"	"जिएंकि"	"जिएंकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: thanks]"	"thanks"	"noun"	"B2"
"dzielić się"	"जिेलिच शिएं"	"जिएलइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to share]"	"to share"	"noun"	"A2"
"dzień"	"जिेञ"	"जिएञ"	"दिन"	"दिवस"	"day"	"noun"	"A1"
"dziesięć"	"जिेशिएंच"	"जिएशिएंच"	"दस"	"दहा"	"ten"	"noun"	"A1"
